year,month,week,ymw,date,topic,z_1,N
1945,1,1,1945-1-1,1945-01-01,0,16,33987
1945,1,1,1945-1-1,1945-01-02,0,53,88667
1945,1,1,1945-1-1,1945-01-03,0,31,80298
1945,1,1,1945-1-1,1945-01-04,0,98,78798
1945,1,1,1945-1-1,1945-01-05,0,97,80233
1945,1,1,1945-1-1,1945-01-06,0,17,39494
1945,1,1,1945-1-1,1945-01-07,0,30,59637
1945,1,2,1945-1-2,1945-01-08,0,49,76162
1945,1,2,1945-1-2,1945-01-09,0,45,78199
1945,1,2,1945-1-2,1945-01-10,0,72,74515
1945,1,2,1945-1-2,1945-01-11,0,74,84199
1945,1,2,1945-1-2,1945-01-12,0,77,81805
1945,1,2,1945-1-2,1945-01-13,0,52,87303
1945,1,2,1945-1-2,1945-01-14,0,172,78336
1945,1,3,1945-1-3,1945-01-15,0,52,74448
1945,1,3,1945-1-3,1945-01-16,0,95,76453
1945,1,3,1945-1-3,1945-01-17,0,82,82938
1945,1,3,1945-1-3,1945-01-18,0,85,84859
1945,1,3,1945-1-3,1945-01-19,0,68,77882
1945,1,3,1945-1-3,1945-01-20,0,96,86052
1945,1,3,1945-1-3,1945-01-21,0,39,79062
1945,1,4,1945-1-4,1945-01-22,0,80,73425
1945,1,4,1945-1-4,1945-01-23,0,46,78084
1945,1,4,1945-1-4,1945-01-24,0,34,82976
1945,1,4,1945-1-4,1945-01-25,0,57,80893
1945,1,4,1945-1-4,1945-01-26,0,58,76800
1945,1,4,1945-1-4,1945-01-27,0,128,87844
1945,1,4,1945-1-4,1945-01-28,0,49,74562
1945,1,5,1945-1-5,1945-01-29,0,37,75177
1945,1,5,1945-1-5,1945-01-30,0,70,80457
1945,1,5,1945-1-5,1945-01-31,0,58,75579
1945,2,5,1945-2-5,1945-02-01,0,54,81565
1945,2,5,1945-2-5,1945-02-02,0,72,78130
1945,2,5,1945-2-5,1945-02-03,0,79,89795
1945,2,5,1945-2-5,1945-02-04,0,116,67653
1945,2,6,1945-2-6,1945-02-05,0,62,74994
1945,2,6,1945-2-6,1945-02-06,0,41,81535
1945,2,6,1945-2-6,1945-02-07,0,65,76463
1945,2,6,1945-2-6,1945-02-08,0,44,82577
1945,2,6,1945-2-6,1945-02-09,0,65,80674
1945,2,6,1945-2-6,1945-02-10,0,79,82643
1945,2,6,1945-2-6,1945-02-11,0,73,81837
1945,2,7,1945-2-7,1945-02-12,0,31,72114
1945,2,7,1945-2-7,1945-02-13,0,68,84340
1945,2,7,1945-2-7,1945-02-14,0,49,76021
1945,2,7,1945-2-7,1945-02-15,0,70,77043
1945,2,7,1945-2-7,1945-02-16,0,66,81205
1945,2,7,1945-2-7,1945-02-17,0,87,84324
1945,2,7,1945-2-7,1945-02-18,0,43,72162
1945,2,8,1945-2-8,1945-02-19,0,38,75799
1945,2,8,1945-2-8,1945-02-20,0,52,76533
1945,2,8,1945-2-8,1945-02-21,0,29,79111
1945,2,8,1945-2-8,1945-02-22,0,64,83426
