token,z,z_N,N,r
caldaras,0,300,305,0.952412698412698
zigenarhövdingen,0,144,149,0.905723270440251
zigenarlägret,0,175,214,0.781294642857143
demetri,0,73,87,0.752680412371134
zigenarflickan,0,166,229,0.694602510460251
hammarbytäppan,0,59,102,0.526875
zigenerskan,0,149,426,0.341766055045872
unhcrtalesman,0,37,108,0.31364406779661
rasmässigt,0,37,179,0.195820105820106
spindler,0,43,225,0.183021276595745
rahel,0,11,107,0.0941025641025641
hemsändningen,0,27,302,0.0865705128205128
kohort,0,11,120,0.0846923076923077
grillkväll,0,10,132,0.0704929577464789
redap,0,8,114,0.0645967741935484
kow,0,6,107,0.0513675213675214
vilseledning,0,6,111,0.0496694214876033
mochs,0,5,103,0.0443362831858407
käkmuskler,0,6,126,0.0441911764705882
hetr,0,5,105,0.0435652173913044
tensen,0,6,134,0.0417361111111111
läde,0,7,168,0.0393820224719101
likstelhet,0,5,121,0.0382442748091603
skamstraff,0,6,148,0.0380379746835443
färgmästare,0,5,122,0.0379545454545455
underhålles,0,9,238,0.0363306451612903
idrottsskola,0,8,220,0.0348260869565217
sinkats,0,4,106,0.0345689655172414
sprickande,0,4,106,0.0345689655172414
wilms,0,4,106,0.0345689655172414
ofih,0,4,108,0.0339830508474576
cyprioten,0,4,112,0.0328688524590164
kommunalarb,0,3,83,0.0323655913978495
återuppbygg,0,3,86,0.0313541666666667
d_v_smindre,0,4,121,0.0306106870229008
buckner,0,4,124,0.0299253731343284
censurbestämmelser,0,3,91,0.0298019801980198
sigoch,0,4,125,0.0297037037037037
nybörjarklass,0,5,160,0.0294705882352941
åatt,0,4,130,0.0286428571428571
pressbilar,0,3,99,0.0276146788990826
pavlovska,0,4,137,0.0272789115646258
breddande,0,3,101,0.0271171171171171
kulturdebatter,0,5,175,0.0270810810810811
finansområdet,0,3,102,0.026875
regeringsrapporten,0,3,102,0.026875
välkomsthälsningarna,0,3,102,0.026875
grigor,0,3,105,0.0261739130434783
egat,0,4,144,0.026038961038961
mattning,0,4,145,0.0258709677419355
arbetsbefäl,0,3,107,0.0257264957264957
clae,0,4,146,0.0257051282051282
genten,0,3,108,0.0255084745762712
osannolikheter,0,3,109,0.0252941176470588
osmakligheter,0,4,149,0.0252201257861635
jmm,0,3,112,0.024672131147541
våravslutningen,0,4,153,0.024601226993865
uppnåelig,0,3,114,0.0242741935483871
trästicka,0,4,156,0.0241566265060241
jihammar,0,3,116,0.0238888888888889
idekamp,0,3,117,0.0237007874015748
kramandet,0,3,118,0.023515625
friedrichshafen,0,3,119,0.0233333333333333
kiinna,0,4,162,0.0233139534883721
avtvingats,0,3,120,0.0231538461538462
underlättandet,0,3,120,0.0231538461538462
opoetiska,0,3,121,0.0229770992366412
gäspig,0,3,122,0.0228030303030303
paradisfågel,0,3,122,0.0228030303030303
talib,0,3,122,0.0228030303030303
annonsplatser,0,4,166,0.0227840909090909
ledbuss,0,3,127,0.021970802919708
privatmänniskan,0,4,174,0.0217934782608696
idta,0,4,176,0.0215591397849462
direktredaktionen,0,3,131,0.0213475177304965
moonshine,0,3,133,0.0210489510489511
sahlstrand,0,3,133,0.0210489510489511
juvelerarbutiker,0,4,181,0.0209947643979058
tidigåre,0,4,184,0.0206701030927835
familjestorlek,0,4,188,0.0202525252525253
hosse,0,4,188,0.0202525252525253
studenthotellet,0,3,140,0.0200666666666667
lågstadieskolor,0,3,143,0.0196732026143791
tubby,0,2,94,0.0193269230769231
avskedsceremoni,0,3,146,0.0192948717948718
laks,0,3,146,0.0192948717948718
adu,0,3,147,0.019171974522293
förstasidesnyheter,0,2,95,0.0191428571428571
mörnerska,0,2,95,0.0191428571428571
lindarängens,0,2,96,0.0189622641509434
tjänstemannafamilj,0,3,149,0.0189308176100629
it_industrin,0,2,97,0.018785046728972
fackmannamässiga,0,2,98,0.0186111111111111
kunnit,0,2,98,0.0186111111111111
londonsjukhus,0,3,153,0.0184662576687117
sprattet,0,2,99,0.0184403669724771
förvildas,0,3,154,0.0183536585365854
vardagspsykologi,0,2,100,0.0182727272727273
fiskarstugorna,0,2,101,0.0181081081081081
fredsgrupp,0,4,212,0.0180630630630631
kulturreportage,0,3,157,0.0180239520958084
familjesöndag,0,2,102,0.0179464285714286
geelong,0,2,102,0.0179464285714286
törshavn,0,2,102,0.0179464285714286
vänsterkurvan,0,2,102,0.0179464285714286
världstv,0,2,102,0.0179464285714286
äppelbitar,0,3,158,0.0179166666666667
