token,z,z_N,N,r
caldaras,0,296,305,0.939714285714286
zigenarhövdingen,0,139,149,0.874276729559748
zigenarflickan,0,208,229,0.870334728033473
demetri,0,78,87,0.804226804123711
zigenarlägret,0,161,214,0.718794642857143
hammarbytäppan,0,56,102,0.500089285714286
unhcrtalesman,0,39,108,0.330593220338983
zigenerskan,0,110,426,0.252316513761468
rasmässigt,0,43,179,0.227566137566138
spindler,0,44,225,0.187276595744681
gränsorten,0,20,164,0.115
baktaleri,0,10,114,0.0807258064516129
siavosh,0,9,116,0.0715079365079365
gospelgruppen,0,7,102,0.0625892857142857
inpressade,0,7,109,0.0589075630252101
bänkades,0,7,111,0.0579338842975207
corpsen,0,8,133,0.056013986013986
finanskommitte,0,7,128,0.0507971014492754
tvångsförflyttats,0,16,306,0.0506645569620253
konfektbit,0,5,90,0.0501
ärnar,0,6,114,0.0484677419354839
stamman,0,7,144,0.0455194805194805
saur,0,5,101,0.0451351351351351
storä,0,5,104,0.0439473684210526
äventyrslustan,0,5,104,0.0439473684210526
framtidsuppgifter,0,5,105,0.0435652173913044
nedslitningen,0,6,134,0.0417361111111111
vattengravar,0,6,136,0.0411643835616438
tjatades,0,5,120,0.0385384615384615
hushål,0,8,199,0.0383253588516746
kemmit,0,4,96,0.0378301886792453
kallsvettigt,0,4,100,0.0364545454545455
bastmatta,0,6,156,0.0362048192771084
supermannen,0,4,102,0.0358035714285714
kommendanter,0,11,302,0.0352884615384615
snabbinkallas,0,4,106,0.0345689655172414
arbetsmateriel,0,5,141,0.0331788079470199
siuk,0,4,111,0.0331404958677686
bortrövats,0,5,143,0.0327450980392157
jlag,0,4,117,0.0315748031496063
starbäck,0,7,215,0.0311555555555556
välblandad,0,4,121,0.0306106870229008
exteriörscenerna,0,3,90,0.0301
salufördes,0,12,393,0.0298014888337469
falukorvar,0,5,160,0.0294705882352941
dödsleken,0,4,128,0.0290579710144928
tumlat,0,8,266,0.0290217391304348
gräsvall,0,5,170,0.0278333333333333
rpot,0,3,101,0.0271171171171171
busse,0,5,176,0.0269354838709677
ahi,0,3,102,0.026875
klassika,0,3,102,0.026875
betalarna,0,4,140,0.0267333333333333
huvudnäringarna,0,3,105,0.0261739130434783
populariserat,0,6,223,0.025793991416309
plågsammaste,0,4,148,0.025379746835443
lönsamhetskraven,0,3,109,0.0252941176470588
porslinsdockor,0,3,109,0.0252941176470588
konstvetenskapen,0,4,150,0.0250625
sjukdomsåren,0,3,118,0.023515625
gck,0,3,119,0.0233333333333333
svampliknande,0,4,163,0.0231791907514451
ellern,0,3,120,0.0231538461538462
rymdindustri,0,3,120,0.0231538461538462
bruttoomsättningen,0,3,121,0.0229770992366412
skådespelarfacket,0,3,121,0.0229770992366412
skadeläge,0,3,123,0.0226315789473684
svårutredd,0,3,127,0.021970802919708
partikäbblet,0,3,134,0.0209027777777778
etare,0,3,135,0.0207586206896552
återfunne,0,3,135,0.0207586206896552
bildkompositionen,0,3,137,0.0204761904761905
töntigheter,0,3,137,0.0204761904761905
lurpassning,0,2,89,0.0203030303030303
inklippt,0,5,239,0.0201204819277108
underdogs,0,5,239,0.0201204819277108
hedt,0,4,190,0.02005
rökhandgranat,0,4,191,0.0199502487562189
leticia,0,3,141,0.0199337748344371
furupanel,0,2,93,0.0195145631067961
finansskandal,0,4,198,0.0192788461538462
yrkesträning,0,5,251,0.0191954022988506
proffstid,0,3,147,0.019171974522293
spyende,0,3,147,0.019171974522293
tvtittning,0,2,95,0.0191428571428571
löds,0,2,96,0.0189622641509434
åsiktsförtrycket,0,3,150,0.0188125
strum,0,4,204,0.0187383177570093
guldbyxor,0,2,98,0.0186111111111111
nimb,0,2,98,0.0186111111111111
syokonsulenten,0,5,261,0.0184870848708487
ratti,0,2,99,0.0184403669724771
vöst,0,2,99,0.0184403669724771
sportmode,0,2,100,0.0182727272727273
nähej,0,3,155,0.0182424242424242
lågans,0,2,101,0.0181081081081081
sjukpensioneras,0,2,101,0.0181081081081081
vtterligare,0,4,213,0.0179820627802691
välkomsthälsningarna,0,2,102,0.0179464285714286
rådjurskidet,0,2,104,0.0176315789473684
gällert,0,3,162,0.0175
gällef,0,2,105,0.0174782608695652
överlöparna,0,2,105,0.0174782608695652
cykelkorg,0,3,163,0.0173988439306358
specialkunnande,0,3,163,0.0173988439306358
unns,0,2,106,0.0173275862068966
aprilkväll,0,3,164,0.0172988505747126
sakerförklarats,0,2,107,0.0171794871794872
avprogrammering,0,2,109,0.016890756302521
diversehandlare,0,4,229,0.0167782426778243
kalerna,0,2,110,0.01675
skruvens,0,2,110,0.01675
leanne,0,2,111,0.0166115702479339
studiesynpunkt,0,2,111,0.0166115702479339
kirunafjällen,0,2,112,0.0164754098360656
manto,0,2,112,0.0164754098360656
utrikisk,0,2,112,0.0164754098360656
tidningstryck,0,4,235,0.0163673469387755
bals,0,2,113,0.0163414634146341
försäl,0,3,175,0.0162702702702703
raggas,0,3,175,0.0162702702702703
ögonblicksbilden,0,2,114,0.0162096774193548
apelsinfärgad,0,2,115,0.01608
avtalslön,0,2,115,0.01608
korrespondensstuderande,0,2,115,0.01608
meningsbrytning,0,2,116,0.015952380952381
försvarsargument,0,2,117,0.0158267716535433
försommardagar,0,2,118,0.015703125
fami,0,4,247,0.0156031128404669
jordås,0,2,119,0.0155813953488372
tvövervakning,0,2,119,0.0155813953488372
triumfartad,0,3,187,0.0152791878172589
förnekelsens,0,2,122,0.0152272727272727
tvsändningama,0,2,122,0.0152272727272727
medborgarrättsorganisation,0,2,123,0.0151127819548872
biloxi,0,2,124,0.015
skoputsarna,0,2,124,0.015
elsk,0,3,191,0.0149751243781095
opinionsorgan,0,3,192,0.0149009900990099
marj,0,3,193,0.0148275862068966
whiskyglaset,0,2,126,0.0147794117647059
vadhelst,0,5,329,0.0147787610619469
hyresfastigheten,0,3,194,0.0147549019607843
tallskogar,0,2,127,0.0146715328467153
väves,0,2,127,0.0146715328467153
levnadsmod,0,2,128,0.0145652173913043
karvat,0,3,197,0.0145410628019324
sidokrockgardiner,0,2,130,0.0143571428571429
underhållningsteater,0,2,130,0.0143571428571429
skönhetsmissen,0,3,200,0.0143333333333333
lantbrukares,0,3,203,0.014131455399061
sommarsatsning,0,3,203,0.014131455399061
jätteinvesteringar,0,2,133,0.0140559440559441
rättstjänare,0,2,134,0.0139583333333333
kandidatnominering,0,3,207,0.0138709677419355
civilståndet,0,2,136,0.0137671232876712
barnramsor,0,3,211,0.0136199095022624
badshorts,0,2,138,0.0135810810810811
jew,0,3,214,0.0134375
morena,0,3,216,0.0133185840707965
kulturfest,0,2,142,0.0132236842105263
solvarg,0,2,142,0.0132236842105263
guldolympiern,0,3,219,0.0131441048034934
stultade,0,3,219,0.0131441048034934
sörgårdsidyll,0,2,143,0.0131372549019608
dielemans,0,2,144,0.0130519480519481
urinering,0,2,144,0.0130519480519481
medbjudna,0,2,145,0.0129677419354839
wig,0,8,609,0.0129402261712439
videokonferens,0,3,223,0.0129184549356223
genuinare,0,2,146,0.0128846153846154
grenade,0,3,224,0.0128632478632479
skandinavia,0,3,224,0.0128632478632479
lukianos,0,2,147,0.0128025477707006
kilformade,0,2,149,0.0126415094339623
portoutlägg,0,2,149,0.0126415094339623
obändighet,0,2,151,0.0124844720496894
thuvesson,0,2,151,0.0124844720496894
kvällslektyr,0,2,152,0.0124074074074074
satiriske,0,2,152,0.0124074074074074
lamotte,0,3,234,0.0123360655737705
genomsnittsmänniskan,0,4,317,0.012262996941896
överglänst,0,3,237,0.0121862348178138
arbetargrabbar,0,2,155,0.0121818181818182
nyhetsutsändningarna,0,2,157,0.0120359281437126
ägarinflytandet,0,2,157,0.0120359281437126
docerar,0,2,158,0.0119642857142857
förhandlingsöverenskommelse,0,2,159,0.0118934911242604
vätterstaden,0,2,159,0.0118934911242604
undertrycket,0,2,160,0.0118235294117647
sommarbruk,0,5,414,0.0118160377358491
bedövningspil,0,2,161,0.0117543859649123
menterna,0,2,161,0.0117543859649123
härnström,0,2,162,0.0116860465116279
kxpressen,0,2,162,0.0116860465116279
spårvagnsolyckan,0,2,162,0.0116860465116279
fårfarmaren,0,2,164,0.011551724137931
missanpassat,0,2,165,0.0114857142857143
fotgängares,0,2,166,0.0114204545454545
heurgrens,0,2,166,0.0114204545454545
eftertrupp,0,3,254,0.0114015151515152
virvelvinden,0,5,431,0.0113605442176871
kammer,0,5,433,0.0113092550790068
hugfästande,0,2,168,0.0112921348314607
kyrkogårds,0,2,168,0.0112921348314607
skivarkiv,0,2,169,0.0112290502793296
besökssiffra,0,2,170,0.0111666666666667
båta,0,2,173,0.010983606557377
korrumperande,0,4,356,0.0109562841530055
blondinens,0,2,175,0.0108648648648649
stockholmar,0,2,175,0.0108648648648649
tish,0,2,175,0.0108648648648649
undersökningstiden,0,2,175,0.0108648648648649
frestats,0,10,913,0.0108450704225352
detaljstudera,0,3,268,0.0108273381294964
konkurrensdugliga,0,3,268,0.0108273381294964
betongbyggnad,0,2,177,0.0107486631016043
olu,0,2,177,0.0107486631016043
balettnummer,0,2,178,0.0106914893617021
ackordsförslaget,0,1,85,0.0106315789473684
motståndsnäste,0,2,180,0.0105789473684211
tund,0,2,180,0.0105789473684211
ynnesten,0,3,275,0.0105614035087719
murders,0,2,181,0.0105235602094241
sibeliusakademin,0,2,181,0.0105235602094241
nordverk,0,2,183,0.0104145077720207
västmanlänningar,0,3,281,0.0103436426116838
medelmåttans,0,2,186,0.0102551020408163
pingpongboll,0,2,187,0.0102030456852792
nnirige,0,3,286,0.0101689189189189
moresco,0,2,188,0.0101515151515152
förstahandsuppgift,0,2,190,0.01005
betancur,0,2,192,0.00995049504950495
jamsar,0,2,192,0.00995049504950495
uttorkningen,0,2,192,0.00995049504950495
koos,0,3,294,0.00990131578947368
fångvårds,0,2,194,0.00985294117647059
jamieson,0,2,195,0.00980487804878049
återsågs,0,2,195,0.00980487804878049
blombord,0,2,196,0.00975728155339806
chokladaskar,0,5,505,0.00972815533980583
tribunaler,0,2,197,0.00971014492753623
ortsätter,0,3,302,0.0096474358974359
arbetskommitten,0,1,95,0.00961904761904762
klassfiende,0,3,307,0.00949526813880126
bankkorten,0,1,97,0.0094392523364486
foghagen,0,2,203,0.00943661971830986
muntergökar,0,2,203,0.00943661971830986
ärelös,0,2,204,0.00939252336448598
avfallsprodukt,0,2,205,0.00934883720930232
återerövrats,0,2,205,0.00934883720930232
förbudslinjen,0,2,207,0.00926267281105991
stormarknadens,0,2,208,0.00922018348623853
arbetsanalys,0,1,100,0.00918181818181818
avbönen,0,1,100,0.00918181818181818
upplevelsens,0,5,539,0.00912568306010929
baldersson,0,2,211,0.00909502262443439
chinarevyn,0,2,212,0.00905405405405405
affes,0,1,102,0.00901785714285714
metaren,0,2,213,0.00901345291479821
promotorerna,0,2,213,0.00901345291479821
frusenhet,0,3,324,0.00901197604790419
överpostiljon,0,4,437,0.00897091722595078
avskedskyss,0,1,103,0.00893805309734513
kårorter,0,2,215,0.00893333333333333
bronsen,0,4,440,0.00891111111111111
lättstött,0,2,217,0.00885462555066079
teore,0,2,217,0.00885462555066079
yarför,0,2,217,0.00885462555066079
universitetsområde,0,2,220,0.00873913043478261
varutransporterna,0,2,220,0.00873913043478261
bue,0,2,222,0.00866379310344828
formlös,0,5,570,0.00863793103448276
