year,token,z,z_N,N,r
2015,flyktingar,0,6602,6604,0.998187178711823
1945,flyktingar,0,3981,3981,0.997496867952894
2016,flyktingar,0,4338,4339,0.99747298229478
1990,flyktingar,0,3366,3366,0.997040876777251
1992,flyktingar,0,3359,3359,0.997034728406055
1993,flyktingar,0,3262,3262,0.996946821515893
1992,invandrare,0,2961,2961,0.996637495792663
1999,flyktingar,0,2957,2957,0.996632962588473
2002,invandrare,0,3143,3144,0.996515535827521
1994,flyktingar,0,2832,2832,0.996484869809993
1985,flyktingar,0,2750,2750,0.996380434782609
1989,flyktingar,0,2940,2941,0.996275838698746
1988,flyktingar,0,2624,2624,0.99620728929385
1996,invandrare,0,2615,2615,0.996194285714286
1995,flyktingar,0,2522,2522,0.996054502369668
1987,flyktingar,0,2489,2489,0.996002400960384
1993,invandrare,0,2442,2442,0.995925774877651
2000,invandrare,0,2604,2605,0.995797323135755
2015,asylsökande,0,2576,2577,0.995751836103595
1996,flyktingar,0,2316,2316,0.995705073086844
2016,asylsökande,0,2526,2527,0.99566811194324
1986,flyktingar,0,2283,2283,0.99564326210205
1999,invandrare,0,2235,2235,0.995550111358575
1998,invandrare,0,2178,2178,0.995434186471664
1979,flyktingar,0,2149,2149,0.995372857804539
2017,flyktingar,0,2097,2097,0.995258661604177
2001,flyktingar,0,2088,2088,0.99523832221163
1945,flyktingarna,0,2085,2085,0.995231503579952
1995,invandrare,0,2433,2435,0.995096114519427
2015,migrationsverket,0,1980,1980,0.994979899497487
1991,flyktingar,0,2368,2370,0.99496218487395
1997,invandrare,0,2167,2168,0.994954086317723
1994,invandrare,0,1961,1961,0.994931506849315
1979,invandrare,0,1888,1888,0.994736564805058
2016,migrationsverket,0,1871,1871,0.994688995215311
2001,invandrare,0,1854,1854,0.994640557939914
1984,flyktingar,0,1844,1844,0.994611650485437
2018,flyktingar,0,1832,1832,0.99457654723127
2014,flyktingar,0,1826,1826,0.994558823529412
1982,invandrare,0,1788,1788,0.99444382647386
